accuracy,loss,val_accuracy,val_loss
0.7568129897117615,0.4976483881473541,0.7773382663726807,0.47243326902389526
0.7886362075805664,0.4505819082260132,0.7812060713768005,0.45759832859039307
0.7958643436431885,0.4369768500328064,0.7832278609275818,0.4532747268676758
0.8000156283378601,0.4267924726009369,0.7822608947753906,0.4473584294319153
0.8031119704246521,0.4206882119178772,0.7890295386314392,0.44669973850250244
0.8043231964111328,0.4164319634437561,0.7914029359817505,0.43914544582366943
0.8048604130744934,0.4108768403530121,0.7891174554824829,0.4340997636318207
0.8070679306983948,0.409412145614624,0.7956223487854004,0.4323901832103729
0.8077126145362854,0.40672656893730164,0.7949191331863403,0.43133965134620667
0.80693119764328,0.4045241177082062,0.7984353303909302,0.43014174699783325
0.8084158897399902,0.4020325243473053,0.7934247255325317,0.4382449686527252
0.8089726567268372,0.3984867334365845,0.8008966445922852,0.42337822914123535
0.8081912398338318,0.39785483479499817,0.7969409227371216,0.42953237891197205
0.811346173286438,0.39584994316101074,0.7979958057403564,0.4288177788257599
0.8099005818367004,0.39367347955703735,0.797819972038269,0.42780524492263794
0.8114145398139954,0.39157742261886597,0.8010724186897278,0.42476049065589905
0.8096856474876404,0.38979461789131165,0.8014240264892578,0.4186525046825409
0.8111410737037659,0.38841512799263,0.7972046136856079,0.42714908719062805
0.8106819987297058,0.38831230998039246,0.8007208108901978,0.41625604033470154
0.8147160410881042,0.3868676722049713,0.7994901537895203,0.42305347323417664
0.8134169578552246,0.38537096977233887,0.8022152185440063,0.42311304807662964
0.8136318325996399,0.38506439328193665,0.8054676651954651,0.4201400578022003
0.8132215738296509,0.383535236120224,0.7975562810897827,0.4234105348587036
0.8157904744148254,0.38092678785324097,0.8035337328910828,0.4160688817501068
0.8142081499099731,0.3810676336288452,0.7986990213394165,0.4189574718475342
0.8151360750198364,0.381978839635849,0.8097749352455139,0.4172801375389099
0.8161714673042297,0.3779347538948059,0.804852306842804,0.42189985513687134
0.8173826336860657,0.37856239080429077,0.8081926703453064,0.4159565269947052
0.818115234375,0.37660279870033264,0.8008087277412415,0.4245039224624634
0.8160054087638855,0.37465935945510864,0.8039732575416565,0.4174065887928009
